Hours,Pitch,Width,relative,quality
6.91,38,19,1.64,6
6.91,38,19,1.64,6
9.5,38,19,1.56,6
6.91,38,19,1.44,6
9.5,38,19,1.17,6
13,38,19,1.16,6
13,38,19,1.16,6
9.5,38,19,0.63,6
6.91,38,19,0.56,6
8.33,38,19,0.36,6
8.33,38,19,0.36,6
8.33,38,19,0.36,6
8.33,38,19,0.08,6
8.33,38,19,0.08,6
8.33,38,19,0.08,6
8.33,38,19,0.08,6
8.33,38,19,0.08,6
8.33,38,19,0.08,6
8.33,38,19,0.08,6
8.33,38,19,0.08,6
7.33,38,19,0.08,6
7.33,38,19,0.08,6
7.33,38,19,0.08,6
7.5,38,19,0.08,6
7.5,38,19,0.08,6
7.5,38,19,0.08,6
6.83,38,19,0.07,6
6.83,38,19,0.07,6
6.83,38,19,0.07,6
8.75,38,19,0.07,6
8.75,38,19,0.07,6
8.75,38,19,0.07,6
10.66,38,19,0.07,6
10.66,38,19,0.07,6
10.66,38,19,0.07,6
8.91,38,19,0.07,6
8.91,38,19,0.07,6
8.91,38,19,0.07,6
7.66,38,19,0.04,6
6.83,38,19,0.04,6
6.83,38,19,0.04,6
8.41,38,19,0.04,6
8.5,38,19,0.04,6
8.5,38,19,0.04,6
8.5,38,19,0.04,6
8.08,38,19,0.04,6
9.5,38,19,0.03,6
9.5,38,19,0.03,6
9.5,38,19,0.03,6
9.5,38,19,0.03,6
7.75,38,19,0.03,6
7.75,38,19,0.03,6
7.75,38,19,0.03,6
7.83,38,19,0.03,6
9.18,38,19,0.03,6
9.18,38,19,0.03,6
9.25,38,19,0.03,6
9.25,38,19,0.03,6
9.16,38,19,0.03,6
9.16,38,19,0.03,6
9.25,38,19,0.03,6
9.25,38,19,0.03,6
9.41,38,19,0.03,6
9.41,38,19,0.03,6
9.41,38,19,0.03,6
11.75,38,19,0.03,6
11.75,38,19,0.03,6
11.5,38,19,0.03,6
11.5,38,19,0.03,6
11.91,38,19,0.03,6
11.91,38,19,0.03,6
11.91,38,19,0.03,6
11.91,38,19,0.03,6
13,38,19,0.02,6
13.83,38,19,1.39,7
13.83,38,19,1.39,7
13.83,38,19,1.39,7
12.25,38,19,0.38,7
12.25,38,19,0.38,7
12.25,38,19,0.38,7
12.25,38,19,0.38,7
11.16,38,19,0.49,7
11.16,38,19,0.49,7
11.16,38,19,0.49,7
11.16,38,19,0.49,7
10.5,38,19,0.91,7
10.5,38,19,0.91,7
10.5,38,19,0.91,7
10.5,38,19,0.91,7
10.41,38,19,1.13,7
10.41,38,19,1.13,7
10.41,38,19,0.26,7
11,38,19,0.45,7
11,38,19,0.45,7
11,38,19,0.45,7
9.91,38,19,0.36,7
9.91,38,19,0.36,7
9.91,38,19,0.36,7
9.91,38,19,0.36,7
8.58,38,19,0.98,7
8.58,38,19,0.98,7
8.58,38,19,0.98,7
11.41,38,19,0.33,7
11.41,38,19,0.33,7
11.41,38,19,0.33,7
11.41,38,19,0.33,7
8.16,38,19,0.67,7
8.16,38,19,0.67,7
8.16,38,19,0.67,7
6.5,38,19,1.03,7
6.5,38,19,1.03,7
6.5,38,19,1.03,7
11.5,38,19,0.75,7
11.5,38,19,0.75,7
11.5,38,19,0.56,7
11.5,38,19,0.26,7
6.83,38,19,1.07,7
6.83,38,19,1.07,7
6.83,38,19,1.07,7
6.83,38,19,1.07,7
11.08,38,19,0.36,7
11.08,38,19,0.36,7
11.08,38,19,0.36,7
11.58,38,19,0.52,7
11.58,38,19,0.52,7
11.58,38,19,0.52,7
13.08,38,19,0.47,7
13.08,38,19,0.47,7
13.08,38,19,0.47,7
7.58,38,19,0.4,7
7.58,38,19,0.4,7
7.58,38,19,0.4,7
7.58,38,19,0.4,7
9.16,38,19,0.38,7
9.16,38,19,0.38,7
9.16,38,19,0.38,7
9.33,38,19,0.36,7
9.33,38,19,0.36,7
9.33,38,19,0.36,7
13.33,38,19,0.14,7
13.33,38,19,0.14,7
13.33,38,19,0.14,7
8.91,38,19,1.13,7
8.66,38,19,0.42,7
8.66,38,19,0.42,7
8.66,38,19,0.42,7
7.25,38,19,0.4,7
7.25,38,19,0.4,7
7.25,38,19,0.4,7
6.08,38,19,0.34,7
6.08,38,19,0.34,7
6.08,38,19,0.34,7
6.75,38,19,0.34,7
6.75,38,19,0.34,7
6.75,38,19,0.34,7
6.66,38,19,0.33,7
6.66,38,19,0.33,7
6.66,38,19,0.33,7
8.75,38,19,0.35,7
8.75,38,19,0.33,7
8.75,38,19,0.33,7
8.91,38,19,0.8,7
7.08,38,19,0.07,7
7.08,38,19,0.07,7
7.08,38,19,0.07,7
4.91,38,19,0.34,7
4.91,38,19,0.34,7
4.91,38,19,0.34,7
11.41,38,19,1.11,7
11.41,38,19,1.11,7
11.41,38,19,0.91,7
11.41,38,19,0.2,7
3.83,38,19,0.42,7
3.83,38,19,0.42,7
3.83,38,19,0.42,7
3.83,38,19,0.42,7
11.16,38,19,1.27,7
11.16,38,19,1.27,7
11.16,38,19,0.36,7
8.91,38,19,0.8,7
11.08,38,19,0.17,7
13.5,38,19,0.65,7
13.5,38,19,0.65,7
13.5,38,19,0.65,7
3.83,38,19,0.24,7
3.83,38,19,0.24,7
3.83,38,19,0.24,7
3.83,38,19,0.24,7
5.41,38,19,0.17,7
5.41,38,19,0.17,7
5.41,38,19,0.17,7
12.5,38,19,0.21,7
12.05,38,19,0.21,7
8.25,38,19,0.08,7
8.25,38,19,0.08,7
8.25,38,19,0.08,7
11.08,38,19,0.17,7
11.08,38,19,0.17,7
8.91,38,19,0.77,7
7.08,38,19,0.21,7
8.91,38,19,0.48,7
8.91,38,19,0.48,7
11.08,38,19,0.57,7
9.58,38,19,0.04,7
12.5,38,19,0.61,7
9.58,38,19,0.52,7
9.58,38,19,0.37,7
12.75,38,19,0.52,7
12.75,38,19,0.52,7
12.75,38,19,0.52,7
4.08,38,19,0.06,7
3.58,38,19,0.1,7
3.58,38,19,0.1,7
2.41,38,19,0.04,7
3.25,38,19,0.11,7
3.25,38,19,0.11,7
3.58,38,19,0.08,7
2.66,38,19,0.09,7
2.41,38,19,0.05,7
2.41,38,19,0.05,7
2.41,38,19,0.11,7
3.25,38,19,0.14,7
1.83,38,19,0.17,7
3.58,38,19,0.16,7
4.5,38,19,0.15,7
2.41,38,19,0.07,7
4.5,38,19,0.17,7
1.83,38,19,0.18,7
2.41,38,19,0.14,7
3.58,38,19,0.13,7
4.08,38,19,0.16,7
2.83,38,19,0.18,7
4.5,38,19,0.18,7
1.25,38,19,0.25,7
4.08,38,19,0.2,7
1.25,38,19,0.26,7
2.41,38,19,0.19,7
1.83,38,19,0.23,7
1.83,38,19,0.23,7
1.25,38,19,0.3,7
1.25,38,19,0.3,7
1.25,38,19,0.3,7
3.58,38,19,0.25,7
2.83,38,19,0.29,7
1.33,38,19,0.29,7
1.33,38,19,0.29,7
1.25,38,19,0.4,7
2.41,38,19,0.31,7
1.33,38,19,0.33,7
8.33,38,21,0.46,7
8.33,38,21,0.46,7
9.5,38,21,0.38,7
9.5,38,21,0.38,7
9.5,38,21,0.38,7
8.33,38,21,0.3,7
4.28,34,17,0.14,2
4.25,34,17,0.14,2
4.33,35,18,0.13,3
4.63,34,17,0.12,2
4.65,34,17,0.12,2
4.66,34,17,0.12,2
4.7,34,17,0.11,3
4.7,34,17,0.11,3
4.7,34,17,0.11,3
4.36,34,17,0.11,2
4.25,34,17,0.11,2
4.43,34,17,0.11,2
4.7,34,17,0.1,3
4.51,35,18,0.1,3
4.26,34,17,0.1,2
4.4,34,17,0.1,2
4.33,35,18,0.09,3
4.26,34,17,0.09,2
1.91,35,17,0.09,2
1.95,34,17,0.09,2
2.06,34,18,0.09,3
2.26,34,17,0.08,2
2.55,35,17,0.08,2
2.55,35,17,0.08,2
2.33,34,18,0.08,3
4.63,34,17,0.07,2
2.86,35,17,0.07,2
2.06,34,18,0.07,3
2.01,34,18,0.07,3
2.33,34,18,0.07,3
4.51,35,18,0.06,3
1.81,34,17,0.05,2
1.83,34,17,0.05,2
1.57,34,17,0.05,2
2.5,35,17,0.04,2
1.8,34,17,0.04,2
1.75,34,18,0.04,3
1.57,34,17,0.04,2
2.3,34,18,0.04,3
2.3,34,18,0.03,3
3.25,40,21,1.89,10
3.25,40,21,1.89,10
3.25,40,21,1.89,10
3.25,40,21,1.87,10
5.66,40,21,1.71,10
3.16,40,21,1.68,10
3.16,40,21,1.68,10
3.25,40,21,1.67,10
4.16,40,21,1.64,10
4.16,40,21,1.53,10
9.5,38,19,1.5,6
5.66,40,21,1.3,10
5.66,40,21,1.3,10
5.66,40,21,1.3,10
5.66,40,21,1.3,10
4.08,40,21,1.29,10
4.25,40,21,1.27,10
4.25,40,21,1.27,10
4.25,40,21,1.27,10
2.5,40,21,1.26,10
2.5,40,21,1.26,10
2.5,40,21,1.26,10
5.66,40,21,1.22,10
2.66,40,21,1.11,10
2.66,40,21,1.11,10
2.66,40,21,1.11,10
4.16,40,21,1.09,10
3.16,40,21,1.07,10
3.25,40,21,1.06,10
4.08,40,21,1.04,10
4.16,40,21,1.04,10
9.5,38,19,0.96,6
4.16,40,21,0.91,10
9.5,38,19,0.82,6
2.5,40,21,0.81,10
2.66,40,21,0.79,10
2.58,40,21,0.77,10
2.58,40,21,0.77,10
2.58,40,21,0.77,10
4.33,40,21,0.74,10
4.33,40,21,0.74,10
4.33,40,21,0.74,10
4.33,40,21,0.74,10
3.16,40,21,0.65,10
4.25,40,21,0.65,10
2.58,40,21,0.6,10
2.58,40,21,0.58,10
3.25,40,21,0.5,10
3.08,40,21,0.48,10
3.08,40,21,0.48,10
3.08,40,21,0.48,10
3.08,40,21,0.48,10
2.58,40,21,0.45,10
2.58,40,21,0.45,10
8.91,38,19,0.42,6
8.91,38,19,0.42,6
9.5,38,19,0.4,6
8.91,38,19,0.38,6
3.25,40,21,0.38,10
3.08,40,21,0.33,10
3.08,40,21,0.33,10
3.08,40,21,0.33,10
3.08,40,21,0.26,10
3.25,40,21,0.17,10
2.58,40,21,0.12,10
13.91,38,20,1.11,6
13.33,38,20,0.99,6
13.33,38,20,0.99,6
13.33,38,20,0.99,6
13.33,38,20,0.99,6
6.16,38,20,0.99,6
6.16,38,20,0.99,6
6.16,38,20,0.99,6
6.16,38,20,0.99,6
13.91,38,20,0.83,6
13.91,38,20,0.83,6
13.91,38,20,0.77,6
12.66,38,20,0.61,6
12.66,38,20,0.61,6
12.66,38,20,0.61,6
12.66,38,20,0.61,6
6.5,38,20,0.61,6
6.5,38,20,0.61,6
6.5,38,20,0.61,6
6.5,38,20,0.61,6
12.41,38,20,0.6,6
12.41,38,20,0.6,6
12.41,38,20,0.6,6
10.83,38,20,0.55,6
10.83,38,20,0.48,6
10.83,38,20,0.48,6
14.66,38,20,0.13,6
14.66,38,20,0.13,6
14.66,38,20,0.13,6
9.66,38,20,0.13,6
9.66,38,20,0.13,6
9.66,38,20,0.13,6
3.83,38,20,0.1,6
3.83,38,20,0.1,6
3.83,38,20,0.1,6
3.83,38,20,0.1,6
12.75,38,20,0.09,6
12.75,38,20,0.09,6
12.75,38,20,0.09,6
12.75,38,20,0.09,6
11.25,38,21,1.82,7
11.25,38,21,1.82,7
11.25,38,21,1.82,7
11.25,38,21,1.82,7
12.08,38,21,1.73,7
12.08,38,21,1.73,7
12.08,38,21,1.73,7
12.08,38,21,1.38,7
6.91,38,21,1.08,7
6.91,38,21,1.08,7
6.91,38,21,1.08,7
6.91,38,21,1.08,7
6.58,38,21,1.03,7
6.58,38,21,1.03,7
6.58,38,21,1.03,7
6.58,38,21,1.03,7
9.91,38,21,0.97,7
9.91,38,21,0.97,7
9.91,38,21,0.97,7
9.91,38,21,0.97,7
10.83,38,21,0.91,7
10.83,38,21,0.91,7
10.83,38,21,0.91,7
10.83,38,21,0.91,7
10.41,38,21,0.84,7
10.41,38,21,0.84,7
10.41,38,21,0.84,7
10.41,38,21,0.84,7
8,38,21,0.73,7
8,38,21,0.73,7
8,38,21,0.73,7
8,38,21,0.73,7
12.58,38,21,0.56,7
10.75,38,21,0.51,7
10.75,38,21,0.51,7
10.75,38,21,0.51,7
10.75,38,21,0.51,7
12.58,38,21,0.5,7
11.33,38,21,0.49,7
11.33,38,21,0.49,7
11.33,38,21,0.49,7
7.41,38,21,0.41,7
7.41,38,21,0.41,7
7.41,38,21,0.41,7
7.41,38,21,0.41,7
7.66,38,21,0.4,7
7.66,38,21,0.4,7
7.66,38,21,0.4,7
7.66,38,21,0.4,7
8.83,38,21,0.39,7
8.83,38,21,0.39,7
8.83,38,21,0.39,7
8.83,38,21,0.39,7
7.08,38,21,0.26,7
7.08,38,21,0.26,7
7.08,38,21,0.26,7
7.08,38,21,0.26,7
12.58,38,21,0.26,7
7.75,38,21,0.1,7
7.75,38,21,0.1,7
7.75,38,21,0.1,7
7.75,38,21,0.1,7
